dataset,generator,target_stance,retriever,mode,anchor_method,comparison_method,anchor_run,comparison_run,anchor_pro,anchor_con,anchor_neu,comparison_pro,comparison_con,comparison_neu,change_pro,change_con,change_neu,delta_tsr,ofsr,asv,successful_flips,eligible_pairs,total_paired_outputs
procon,ollama,PRO,nomic,base,prompt-injection,simple-prompt-injection,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.47419354838709676,0.18387096774193548,0.3419354838709677,-0.012903225806451646,-0.0032258064516129115,0.016129032258064502,-0.012903225806451646,0.10062893081761007,-0.004838709677419355,16,159,310
procon,ollama,PRO,nomic,base,simple-prompt-injection,biaschain,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,procon-ollama-biaschain-pro-nomic-base-23289f8fed,0.47419354838709676,0.18387096774193548,0.3419354838709677,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.022580645161290325,-0.009677419354838707,-0.01290322580645159,0.022580645161290325,0.15337423312883436,0.016129032258064516,25,163,310
procon,ollama,PRO,nomic,base,simple-prompt-injection,poisonedrag,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,0.47419354838709676,0.18387096774193548,0.3419354838709677,0.4870967741935484,0.18387096774193548,0.32903225806451614,0.012903225806451646,0.0,-0.01290322580645159,0.012903225806451646,0.12269938650306748,0.0064516129032258064,20,163,310
procon,ollama,PRO,nomic,base,simple-prompt-injection,prompt-injection,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,0.47419354838709676,0.18387096774193548,0.3419354838709677,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.012903225806451646,0.0032258064516129115,-0.016129032258064502,0.012903225806451646,0.12269938650306748,0.004838709677419355,20,163,310
procon,ollama,PRO,qwen,base,biaschain,poisonedrag,procon-ollama-biaschain-pro-qwen-base-275229e9d1,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,0.3096774193548387,0.2903225806451613,0.4,0.31290322580645163,0.27419354838709675,0.4129032258064516,0.0032258064516129115,-0.016129032258064557,0.01290322580645159,0.0032258064516129115,0.08411214953271028,0.00967741935483871,18,214,310
procon,ollama,PRO,qwen,base,biaschain,prompt-injection,procon-ollama-biaschain-pro-qwen-base-275229e9d1,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,0.3096774193548387,0.2903225806451613,0.4,0.3161290322580645,0.27419354838709675,0.4096774193548387,0.006451612903225767,-0.016129032258064557,0.009677419354838679,0.006451612903225767,0.0794392523364486,0.01129032258064516,17,214,310
procon,ollama,PRO,qwen,base,biaschain,simple-prompt-injection,procon-ollama-biaschain-pro-qwen-base-275229e9d1,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,0.3096774193548387,0.2903225806451613,0.4,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.01290322580645159,-0.041935483870967766,0.029032258064516092,0.01290322580645159,0.10747663551401869,0.027419354838709678,23,214,310
procon,ollama,PRO,qwen,base,poisonedrag,biaschain,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,procon-ollama-biaschain-pro-qwen-base-275229e9d1,0.31290322580645163,0.27419354838709675,0.4129032258064516,0.3096774193548387,0.2903225806451613,0.4,-0.0032258064516129115,0.016129032258064557,-0.01290322580645159,-0.0032258064516129115,0.07981220657276995,-0.00967741935483871,17,213,310
procon,ollama,PRO,qwen,base,poisonedrag,prompt-injection,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,0.31290322580645163,0.27419354838709675,0.4129032258064516,0.3161290322580645,0.27419354838709675,0.4096774193548387,0.003225806451612856,0.0,-0.0032258064516129115,0.003225806451612856,0.09389671361502347,0.0016129032258064516,20,213,310
procon,ollama,PRO,qwen,base,poisonedrag,simple-prompt-injection,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,0.31290322580645163,0.27419354838709675,0.4129032258064516,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.009677419354838679,-0.02580645161290321,0.016129032258064502,0.009677419354838679,0.11267605633802817,0.017741935483870968,24,213,310
procon,ollama,PRO,qwen,base,prompt-injection,biaschain,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,procon-ollama-biaschain-pro-qwen-base-275229e9d1,0.3161290322580645,0.27419354838709675,0.4096774193548387,0.3096774193548387,0.2903225806451613,0.4,-0.006451612903225767,0.016129032258064557,-0.009677419354838679,-0.006451612903225767,0.07075471698113207,-0.01129032258064516,15,212,310
procon,ollama,PRO,qwen,base,prompt-injection,poisonedrag,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,0.3161290322580645,0.27419354838709675,0.4096774193548387,0.31290322580645163,0.27419354838709675,0.4129032258064516,-0.003225806451612856,0.0,0.0032258064516129115,-0.003225806451612856,0.08962264150943396,-0.0016129032258064516,19,212,310
procon,ollama,PRO,qwen,base,prompt-injection,simple-prompt-injection,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,0.3161290322580645,0.27419354838709675,0.4096774193548387,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.006451612903225823,-0.02580645161290321,0.019354838709677413,0.006451612903225823,0.08490566037735849,0.016129032258064516,18,212,310
procon,ollama,PRO,qwen,base,simple-prompt-injection,biaschain,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,procon-ollama-biaschain-pro-qwen-base-275229e9d1,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.3096774193548387,0.2903225806451613,0.4,-0.01290322580645159,0.041935483870967766,-0.029032258064516092,-0.01290322580645159,0.09047619047619047,-0.027419354838709678,19,210,310
procon,ollama,PRO,qwen,base,simple-prompt-injection,poisonedrag,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.31290322580645163,0.27419354838709675,0.4129032258064516,-0.009677419354838679,0.02580645161290321,-0.016129032258064502,-0.009677419354838679,0.1,-0.017741935483870968,21,210,310
procon,ollama,PRO,qwen,base,simple-prompt-injection,prompt-injection,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.3161290322580645,0.27419354838709675,0.4096774193548387,-0.006451612903225823,0.02580645161290321,-0.019354838709677413,-0.006451612903225823,0.0761904761904762,-0.016129032258064516,16,210,310
