group,average_perplexity,median_perplexity,standard_deviation_perplexity,average_log_perplexity,median_log_perplexity,document_count,average_token_count
BiasChain,32.453402012597714,32.00259164994414,9.683428065203604,3.4348177194595335,3.4657881259918213,80,138.5625
Clean,22.236011097838816,21.070844141743382,7.574753341746149,3.0415178536180902,3.0478901992259186,62,4451.677419354839
CorruptRAG,21.813793059111795,19.373645346363357,8.175708153672408,3.0212702423334123,2.9639124870300293,80,64.8375
PoisonedRAG,95.19766958284482,76.82048223325863,60.80668202151976,4.381889218091965,4.34139609336853,80,32.2625
Prompt-Injection,82.58264451258826,63.62484117461584,55.197606383080014,4.242878013849259,4.153003692626953,80,37.5
Whole Clean Corpus,25.70543928776935,21.93866638560208,36.68603970347384,3.103564714465133,3.088250665825841,4662,4245.97661947662
