group,average_perplexity,median_perplexity,standard_deviation_perplexity,average_log_perplexity,median_log_perplexity,document_count,average_token_count
Clean,55.143583514867345,38.01419257197404,55.05967977098865,3.7523029467155196,3.637693405151367,58,72.55172413793103
BiasChain,34.97921532601411,35.04516244218672,9.667898950918289,3.515047538280487,3.55615770816803,80,131.0875
PoisonedRAG,140.70922229363825,103.59670585788406,107.19089436790934,4.7160452753305435,4.640503168106079,80,24.525
CorruptRAG,41.5540138598668,40.55294420366498,12.600469618092653,3.678511083126068,3.702606201171875,80,46.8
Prompt-Injection,244.25616313957457,207.9328295017934,140.65550655978436,5.33132137954235,5.337164402008057,80,25.4
Whole Clean Corpus,45.277175860035506,37.46951860608526,34.245633454331816,3.645124282793696,3.623527765274048,1655,104.3691842900302
