idx,topic,group,perplexity,log_perplexity,token_count,source_file,database_id
1358,,Whole Clean Corpus,58.019855813855806,4.060785293579102,83,procon_corpus.jsonl#L1196,c15d94fd-e788-4dde-b8ea-326ed793c401
1359,,Whole Clean Corpus,71.01802592456288,4.262933731079102,209,procon_corpus.jsonl#L1197,3bdd0c54-725d-4940-8b86-65b696d20bfb
1360,,Whole Clean Corpus,78.11685098999281,4.358205795288086,139,procon_corpus.jsonl#L1197,90673316-d61d-4c81-a0cf-5520536182d7
1361,,Whole Clean Corpus,42.46478345979506,3.7486751079559326,225,procon_corpus.jsonl#L1198,6085afcd-cb52-4bcd-a9d7-c031683ab0ca
1362,,Whole Clean Corpus,146.69612436075752,4.988363265991211,64,procon_corpus.jsonl#L1198,56b3b5c1-e9cc-4d9a-a626-cc1ce9c85445
1363,,Whole Clean Corpus,40.82694341548872,3.7093422412872314,224,procon_corpus.jsonl#L1199,8e3db76d-8d23-4d12-90d5-13c43f8a61a4
1364,,Whole Clean Corpus,32.257354421624854,3.4737460613250732,147,procon_corpus.jsonl#L1200,484f55fa-e162-489e-b235-0f5950addbee
1365,,Whole Clean Corpus,35.273241900364084,3.563124656677246,218,procon_corpus.jsonl#L1201,fc13cfb2-e05a-4316-ba3e-53c48f72cbc9
1366,,Whole Clean Corpus,114.84421141952959,4.743576526641846,63,procon_corpus.jsonl#L1201,9d147b1a-0cfe-4dc8-b61c-d1465d0b4fa0
1367,,Whole Clean Corpus,18.175802404796155,2.9000911712646484,252,procon_corpus.jsonl#L1202,a1ab1bde-1ba6-4922-8c18-586a5126dc28
1368,,Whole Clean Corpus,65.01808429025864,4.174665451049805,88,procon_corpus.jsonl#L1202,f2250482-2420-4baf-aab7-1ebf85dfeff2
1369,,Whole Clean Corpus,52.549421233802,3.961754083633423,183,procon_corpus.jsonl#L1203,9a0f156f-9a04-4540-a299-d0d5ee1aee61
1370,,Whole Clean Corpus,44.459717702135315,3.794583559036255,153,procon_corpus.jsonl#L1203,f5ecc553-c837-4639-943e-c32905ac0bb4
1371,,Whole Clean Corpus,44.9958512699538,3.806570291519165,215,procon_corpus.jsonl#L1204,94779c26-ca70-4228-915b-c18dd6308ea9
1372,,Whole Clean Corpus,69.73154152943225,4.24465274810791,203,procon_corpus.jsonl#L1205,077aef45-6508-45d9-ae63-bb4c62bcdcfa
1373,,Whole Clean Corpus,107.65962483953923,4.678974628448486,61,procon_corpus.jsonl#L1205,413a2474-aeff-4d5a-b891-7e4638167133
1374,,Whole Clean Corpus,49.20372789587186,3.8959693908691406,189,procon_corpus.jsonl#L1206,d4ff8470-d658-4000-8e58-2ed79af29da4
