group,average_perplexity,median_perplexity,standard_deviation_perplexity,average_log_perplexity,median_log_perplexity,document_count,average_token_count
BiasChain,32.453402012597714,32.00259164994414,9.683428065203604,3.4348177194595335,3.4657881259918213,80,138.5625
Clean,30.6027828733907,28.41262995696847,13.875327405141594,3.3349343307556643,3.3467514514923096,62,154.33870967741936
CorruptRAG,21.813793059111795,19.37364534636336,8.17570815367241,3.0212702423334123,2.9639124870300293,80,64.8375
PoisonedRAG,95.19766958284484,76.82048223325863,60.80668202151976,4.381889218091965,4.34139609336853,80,32.2625
Prompt-Injection,82.58264451258826,63.62484117461584,55.197606383080014,4.242878013849259,4.153003692626953,80,37.5
Whole Clean Corpus,59.02184360140941,34.60853762591833,1353.8168166728651,3.5472916677674764,3.5441004037857056,128932,166.39403716687866
