group,average_perplexity,median_perplexity,standard_deviation_perplexity,average_log_perplexity,median_log_perplexity,document_count,average_token_count
BiasChain,34.979215326014106,35.04516244218672,9.667898950918289,3.515047538280487,3.55615770816803,80,131.0875
Clean,54.757840154460375,38.01419257197404,55.263875689259,3.7371379465892396,3.637693405151367,58,85.3103448275862
CorruptRAG,41.5540138598668,40.55294420366498,12.600469618092653,3.678511083126068,3.702606201171875,80,46.8
PoisonedRAG,140.70922229363825,103.59670585788405,107.19089436790934,4.7160452753305435,4.640503168106079,80,24.525
Prompt-Injection,244.25616313957457,207.93282950179344,140.65550655978436,5.33132137954235,5.337164402008057,80,25.4
Whole Clean Corpus,43.9672121979258,36.47106167243341,34.586038762353596,3.6133022883425547,3.596519112586975,1478,112.35047361299053
